maDiaDiem,tenDiaDiem,moTa,diaChi,maTinhThanh,loaiDiaDiem,viDo,kinhDo,giaVe,gioMoCua,gioDongCua,dienThoai,website,danhGiaTrungBinh,soLuotDanhGia,soLuotXem,maNguoiTao,ngayTao,lanCapNhatCuoi,trangThai,dacDiem,tienNghi
57,Dịch vụ xe du lịch Hiệp Duyên,,"Quốc lộ14, Đức An, Huyện Đắk Song, Đắc Nông",0,khac,0.0,0.0,0.0,,,0816545545,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""vtkdl"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/vtkdl/?item=292"", ""email"": """", ""item_id"": ""292"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
58,Thuê xe tự lái An Nhiên,,"270 Vạn Thọ, Mỹ Ngãi, Thành phố Cao Lãnh",17,khac,0.0,0.0,0.0,,,0904000704,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""vtkdl"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/vtkdl/?item=4"", ""email"": """", ""item_id"": ""4"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
59,Dịch vụ cho thuê xe Kim Loan,,"70 Nguyễn Trãi, Thành phố Tây Ninh",49,khac,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""vtkdl"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/vtkdl/?item=8"", ""email"": """", ""item_id"": ""8"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
60,Công ty TNHH Dịch vụ và Du lịch Lộc Phát,,"Lô 19-A6 Khu ĐTC Núi Mồ Côi, Quy Nhơn Bắc, Thành phố Qui Nhơn, Gia Lai",18,khac,0.0,0.0,0.0,,,0707496999,https://quangcaotructuyen24h.vn/cho-thue-xe-quy-nhon-loc-phat/,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""vtkdl"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/vtkdl/?item=11"", ""email"": """", ""item_id"": ""11"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
61,Hiệp hội Du Lịch An Giang,,"173 Đường Nguyễn Thái Học, Thành phố Long Xuyên",1,khac,0.0,0.0,0.0,,,0888015111,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""hh"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/hh/?item=4"", ""email"": ""hiephoidlag@gmail.com"", ""item_id"": ""4"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
62,Hiệp hội Du Lịch Bình Dương,,"Số 239 Thích Quảng Đức, Thành phố Thủ Dầu Một, Bình Dương",8,khac,0.0,0.0,0.0,,,0973630440,http://hiephoidulichbinhduong.com,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""hh"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/hh/?item=7"", ""email"": ""hiephoidulichbinhduong@gmail.com"", ""item_id"": ""7"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
63,Hiệp hội Du Lịch Bà Rịa-Vũng Tàu,,"17B2 Đào Duy Từ, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",62,khac,0.0,0.0,0.0,,,0913693105,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""hh"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/hh/?item=13"", ""email"": ""hiephoidulichbrvt@gmail.com"", ""item_id"": ""13"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
64,Hiệp hội Du lịch TP. Cần Thơ,,"Số 01 Ngô Văn Sở, Ninh Kiều, Quận Ninh Kiều, Thành phố Cần Thơ",59,khac,0.0,0.0,0.0,,,02923819570,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""hh"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/hh/?item=16"", ""email"": ""hiephoidulichtpcantho@gmail.com"", ""item_id"": ""16"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
65,Hiệp hội Du lịch Kiên Giang,,"Số 52 đường Trần Phú, Thành phố Rạch Giá, An Giang",1,khac,0.0,0.0,0.0,,,0943402222,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""hh"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/hh/?item=19"", ""email"": ""info@kitavietnam.com"", ""item_id"": ""19"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
66,Hiệp Hội Du Lịch Ninh Thuận,,"Ðường Yên Ninh, khu phố 3, Thành phố Phan Rang-Tháp Chàm, Ninh Thuận",39,khac,0.0,0.0,0.0,,,,http://www.hiephoidulichninhthuan.com,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""hh"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/hh/?item=25"", ""email"": ""info@hiephoidulichninhthuan.com"", ""item_id"": ""25"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
67,Hiệp hội Du lịch Bình Thuận,,"97 Nguyễn Đình Chiểu, Mũi Né, Thành phố Phan Thiết, Bình Thuận",10,khac,0.0,0.0,0.0,,,02523741093,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""hh"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/hh/?item=28"", ""email"": """", ""item_id"": ""28"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
68,Hiệp hội du lịch Bình Định,,"Khách sạn Hoàng Yến - 05 An Dương Vương, Quy Nhơn Nam, Thành phố Qui Nhơn, Gia Lai",18,khac,0.0,0.0,0.0,,,0909227779,http://hiephoidulichbinhdinh.com.vn,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""hh"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/hh/?item=31"", ""email"": ""info.hiephoidulichbd@gmail.com"", ""item_id"": ""31"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
69,Hiệp Hội Du Lịch Đắk Lắk,,"48 Nguyễn Tất Thành, Buôn Ma Thuột, Thành phố Buôn Ma Thuột, Đắc Lắk",22,khac,0.0,0.0,0.0,,,0913471352,http://www.dakta.org.vn,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""hh"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/hh/?item=34"", ""email"": ""hiephoidulichdaklak@gmail.com"", ""item_id"": ""34"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
70,Hiệp Hội Du Lịch Tỉnh Gia Lai,,"6 Võ Thị Sáu, Thành phố Pleiku",18,khac,0.0,0.0,0.0,,,0933968468,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""hh"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/hh/?item=37"", ""email"": ""dulichgialai@gmail.com"", ""item_id"": ""37"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
71,Hiệp Hội Du Lịch Tỉnh Thanh Hóa,,"Tầng 5, Sở văn hóa thể thao và du lịch, 101 Nguyễn Trãi, Thành phố Thanh Hóa, Thanh Hoá",52,khac,0.0,0.0,0.0,,,02376660037,http://www.thanhhoatourist.com.vn,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""hh"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/hh/?item=40"", ""email"": ""hiephoidlth@gmail.com"", ""item_id"": ""40"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
72,Hiệp hội Du lịch tỉnh Sơn La (STA),,"Số 09 Đường Khau Cả, Tổ 8, Thành phố Sơn La, Sơn La",48,khac,0.0,0.0,0.0,,,02123854666,http://sonlasta.com,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""hh"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/hh/?item=43"", ""email"": ""hhdl.sonla@gmail.com"", ""item_id"": ""43"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
73,Hiệp Hội Du Lịch Vĩnh Phúc,,"189 Lam Sơn, Huyện Tam Dương, Vĩnh Phúc",57,khac,0.0,0.0,0.0,,,02113777777,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""hh"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/hh/?item=46"", ""email"": """", ""item_id"": ""46"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
74,Hiệp hội du lịch tỉnh Bắc Kạn,,"Tổ 9B, Đức Xuân, Thành Phố Bắc Kạn, Bắc Kạn",4,khac,0.0,0.0,0.0,,,0989587400,http://www.backantourism.org,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""hh"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/hh/?item=49"", ""email"": """", ""item_id"": ""49"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
75,Hiệp hội Du lịch tỉnh Bắc Giang,,"Lô T2, Đường Quách Nhẫn, TP Bắc Giang, Thành phố Bắc Giang, Bắc Ninh",3,khac,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""hh"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/hh/?item=52"", ""email"": ""hiephoidlbg@gmail.com"", ""item_id"": ""52"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
